B?n là sinh viên n?m m?y?,?i?m môn NH?P MÔN NHÀNH CNTT,?i?m môn C? S? L?P TRÌNH,?i?m môn K? THU?T L?P TRÌNH,?i?m môn C?U TRÚC D? LI?U VÀ GI?I THU?T,?i?m môn M?NG MÁY TÍNH,"Theo b?n, các môn c? s? ngành có quan tr?ng ??i v?i các sinh viên không?",,
2,8,6.7,5.5,5.5,8,Quan tr?ng,,
2,5.5,4.7,7,4.7,4.7,Quan tr?ng,,
2,5.5,5.7,5.3,5.5,5.5,Quan tr?ng,,
2,7,5.5,5.5,5.8,7,Bình th??ng,,
2,5.5,5.5,4.2,7.9,5.5,Quan tr?ng,,
4,7,7,7,5.5,7,Quan tr?ng,,
2,6.7,5.6,5.5,5.5,5.5,Quan tr?ng,,
3,8,7,8,7,7,Quan tr?ng,,
2,4.7,5.5,5.5,5.5,8,Quan tr?ng,,
2,5.5,7,5.5,4.7,5.5,Quan tr?ng,,
2,5.7,5.7,4.7,5.7,8,Quan tr?ng,,
1,4.7,4.7,5.5,5.5,5.5,Bình th??ng,,
2,5.5,6.7,5.5,7,5.5,Bình th??ng,,
2,7,8,8,7,7,Quan tr?ng,,
2,9,6,3.5,6.3,7,Quan tr?ng,,
5,4.7,5.7,3.5,5.7,8,Quan tr?ng,,
2,5.7,5.7,7.8,8.3,8,Quan tr?ng,,
2,5.7,6,5.7,4.5,8,Quan tr?ng,,
2,5.5,6.2,7,5.5,7,Quan tr?ng,,
2,5.5,7,7,5.5,7,Quan tr?ng,,
2,8,8,8,8,8,Quan tr?ng,,
2,4.7,5.5,5.5,4.7,5.5,Quan tr?ng,,
3,5.2,6.3,5.2,6.3,7,Quan tr?ng,,
2,5.2,5.2,5.2,5.2,5.2,Quan tr?ng,,
2,7,8,8,7,4.9,Quan tr?ng,,
4,6,6,6.1,6.4,5.7,Quan tr?ng,,
2,9.5,8,6,7.9,4.7,Quan tr?ng,,
2,8,7,8,7,7.8,Quan tr?ng,,
2,5.5,5.5,5.5,4.7,5.5,Quan tr?ng,,
5,5.5,5.5,5.5,5.5,5.5,Quan tr?ng,,
4,6,6,6.1,6.4,4,Quan tr?ng,,
2,4.1,7.5,5.3,5,6,Quan tr?ng,,
2,6.3,6.5,5.5,7,5,Quan tr?ng,,
2,6,7.8,4,2,4.8,Quan tr?ng,,
2,7,8,8,7,4.9,Quan tr?ng,,
4,6,6,6.1,6.4,5.7,Quan tr?ng,,
2,9.5,8,6,7.9,4.7,Quan tr?ng,,
2,8,7,7,7,7.8,Quan tr?ng,,
2,5.1,5.1,3.8,5.1,3.8,Quan tr?ng,,
4,5.1,5.1,7.2,5.1,5.1,Bình th??ng,,
2,5.1,5.1,3.8,5.1,3.8,Quan tr?ng,,
2,5.1,5.1,3.8,5.1,3.8,Quan tr?ng,,
2,5.9,5.9,4.9,5.9,9.6,Bình th??ng,,
2,9,7.7,4.9,4.9,5.9,Quan tr?ng,,
2,5.2,3.4,5.2,5.2,5.2,Quan tr?ng,,
2,6.3,6.3,6.3,6.3,5.2,Quan tr?ng,,
5,5.2,6.3,6.3,5.2,5.2,Quan tr?ng,,
1,6.3,5.2,5.2,6.3,6.3,Quan tr?ng,,
2,6.3,6.3,6.3,3.4,5.2,Bình th??ng,,
2,3.4,5.2,6.3,6.3,8.2,Quan tr?ng,,
2,5.4,5.7,8.5,5.4,5.4,Quan tr?ng,,
2,5.4,8.5,8.5,8.5,8.5,Quan tr?ng,,
2,5.4,6.3,5.4,7.1,5.4,Bình th??ng,,
2,5.1,5.1,7.2,5.1,7.2,Quan tr?ng,,
1,5.1,3.8,5.1,7.2,3.8,Bình th??ng,,
3,3.8,5.8,5.1,3.8,5.6,Bình th??ng,,
3,5.1,7.2,5.6,4.3,4.1,Bình th??ng,,
2,7.3,4.3,5.1,5.1,8,Bình th??ng,,
3,6.6,8.5,8.3,5.1,5.1,Bình th??ng,,
2,6.3,5.1,5.1,6.6,5.1,Quan tr?ng,,
2,8.5,5.1,6.6,6.6,5.1,Bình th??ng,,
5.4,6.3,5.4,7.1,,,,,
2,6.3,6.3,6.3,3.4,5.2,,,
3,6.6,8.5,8.3,5.1,5.1,,,
2,6.3,5.1,5.1,6.6,6.3,,,
2,6.3,5.1,5.1,6.6,9,,,
2,6.3,6.3,6.3,3.4,5.2,,,
2,6.3,6.3,6.3,3.4,7,,,
2,3.4,5.2,6.3,6.3,8.2,,,
2,5.4,5.7,8.5,5.4,5.4,,,
2,5.4,8.5,8.5,8.5,8.5,,,
3,6.6,8.5,8.3,5.1,5.1,,,
2,6.3,5.1,5.1,6.6,5.1,,,
2,3.4,5.2,6.3,6.3,8.2,,,
4,5.4,5.7,8.5,5.4,5.4,,,
2,5.4,6.3,5.4,7.1,6.1,,,
1,5.1,5.1,7.2,5.1,7,,,
3,3.8,5.8,5.1,3.8,5,,,
4,6.6,8.5,8.3,5.1,7,,,
2,5.5,7,5.5,4.7,5.5,,,
2,5.7,5.7,4.7,5.7,8,,,
2,5.5,7,7,5.5,7,,,
3,5.2,6.3,5.2,6.3,6.3,,,
2,5.2,5.2,5.2,5.2,5.2,,,
2,5.2,6.3,5.2,5.2,5.2,,,
2,5.5,5.5,7,5.5,7,,,
2,4.1,7.5,5.3,5,6,,,
2,7,8,8,7,4.9,,,
4,6,6,6.1,6.4,5.7,,,
2,7.3,4.3,5.1,5.1,5.1,,,
3,6.6,8.5,8.3,5.1,5.1,,,
2,8.5,5.1,6.6,6.6,5.1,,,
2,6.3,5.1,5.1,6.6,5.1,,,
4,5.4,5.7,8.5,5.4,5.4,,,
2,5.4,6.3,5.4,7.1,6.1,,,
3,3.8,5.8,5.1,3.8,5,,,
4,6.6,8.5,8.3,5.1,7,,,
2,5.7,5.7,4.7,5.7,8,,,
2,5.5,5.7,5.3,5.5,5.5,,,
2,7,5.5,5.5,5.8,7,,,
2,6.7,5.6,5.5,5.5,5.5,,,
3,8,7,8,7,7,,,
2,4.7,5.5,5.5,5.5,8,,,
2,5.5,7,7,5.5,7,,,
2,5.5,7,7,5.5,7,,,
5,5.2,6.3,6.3,5.2,5.2,,,
1,6.3,5.2,5.2,6.3,6.3,,,
2,3.4,5.2,6.3,6.3,8.2,,,
2,5.4,5.7,8.5,5.4,5.4,,,
2,3.4,5.2,6.3,6.3,8.2,,,
2,5.4,5.7,8.5,5.4,5.4,,,
3,6.6,8.5,8.3,5.1,5.1,,,
2,6.3,5.1,5.1,6.6,5.1,,,
2,5.2,5.2,5.2,5.2,5.2,,,
2,5.5,5.5,5.5,4.7,5.5,,,
2,8,7,7,7,7.8,,,
2,5.4,8.5,8.5,8.5,8.5,,,
2,6.3,5.1,5.1,6.6,5.1,,,
2,5.5,7,5.5,4.7,5.5,,,
3,5.2,6.3,5.2,6.3,6.3,,,
2,5.5,5.5,7,5.5,7,,,
4,6,6,6.1,6.4,5.7,,,
2,6.3,5.1,5.1,6.6,5.1,,,
2,4.1,7.5,5.3,5,6,,,
2,6.3,6.5,5.5,7,5,,,
2,9.5,8,6,7.9,4.7,,,
2,8,7,7,7,7.8,,,
2,6.3,5.1,5.1,6.6,5.1,,,
3,6.6,8.5,8.3,5.1,5.1,,,
2,6.3,6.3,6.3,3.4,5.2,,,
2,3.4,5.2,6.3,6.3,8.2,,,
3,6.6,8.5,8.3,5.1,5.1,,,
2,6.3,5.1,5.1,6.6,5.1,,,
4,6,6,6.1,6.4,5.7,,,
2,9.5,8,6,7.9,4.7,,,
4,5.1,5.1,7.2,5.1,5.1,,,
2,5.1,5.1,3.8,5.1,3.8,,,
2,6.3,6.3,6.3,6.3,5.2,,,
1,6.3,5.2,5.2,6.3,6.3,,,
2,6.3,6.3,6.3,3.4,5.2,,,
2,5.5,5.5,5.5,4.7,5.5,,,
5,5.5,5.5,5.5,5.5,5.5,,,
4,6,6,6.1,6.4,4,,,
2,4.1,7.5,5.3,5,6,,,
2,6.3,6.5,5.5,7,5,,,
2,6,7.8,4,2,4.8,,,
2,7,8,8,7,4.9,,,
4,6,6,6.1,6.4,5.7,,,
2,9.5,8,6,7.9,4.7,,,
2,8,7,7,7,7.8,,,
2,5.1,5.1,3.8,5.1,3.8,,,
4,5.1,5.1,7.2,5.1,5.1,,,
2,5.4,8.5,8.5,8.5,8.5,,,
2,3.4,5.2,6.3,6.3,8.2,,,
1,5.1,5.1,7.2,5.1,7,,,
3,3.8,5.8,5.1,3.8,5,,,
2,5.5,7,7,5.5,7,,,
2,4.1,7.5,5.3,5,6,,,
2,3.4,5.2,6.3,6.3,8.2,,,
3,6.6,8.5,8.3,5.1,5.1,,,
2,5.1,5.1,3.8,5.1,3.8,,,
2,6.3,6.3,6.3,6.3,5.2,,,
1,6.3,5.2,5.2,6.3,6.3,,,
1,5.1,5.1,7.2,5.1,7,,,
3,3.8,5.8,5.1,3.8,5,,,
